58463 2016   01   261213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2130 263  10 253  13 261  11------------00000000--------00000000 -52----------------  75  31 -8910345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2131 258   9 253  13 255  12------------00000000--------00000000 -52----------------  75  31 -8910345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2132 258  11 254  12 261  14------------00000000--------00000000 -52----------------  75  31 -8910344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2133 265  10 256  12 270  11------------00000000--------00000000 -52----------------  75  31 -8910344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2134 272   9 259  11 274  11------------00000000--------00000000 -52----------------  75  31 -8910344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2135 276   9 262  11 277  10------------00000000--------00000000 -53----------------  75  31 -9010344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2136 277   9 265  10 277  12------------00000000--------00000000 -53----------------  76  31 -8910344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2137 273  11 267  10 269  13------------00000000--------00000000 -53----------------  76  31 -8910344---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2138 265  12 267  10 262  13------------00000000--------00000000 -54----------------  76  31 -9010345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2139 260  12 266  10 258  14------------00000000--------00000000 -54----------------  76  31 -9010344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2140 259  13 266  11 261  14------------00000000--------00000000 -54----------------  77  31 -8810344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2141 263  12 267  11 265  13------------00000000--------00000000 -55----------------  78  32 -8710344---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2142 266  12 268  11 266  15------------00000000--------00000000 -55----------------  78  32 -8710343---- -40----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
